X,Y,Z,标注类别名称,预测类别,图像路径
33.630096,-210.57672,-342.60516,仓鼠,仓鼠,dataset_split/val/仓鼠/76.jpg
-334.25098,46.97566,-201.02127,仓鼠,仓鼠,dataset_split/val/仓鼠/8.png
-358.6618,46.04935,-149.51793,仓鼠,仓鼠,dataset_split/val/仓鼠/86.jpg
-230.42653,-76.161674,-213.60779,仓鼠,仓鼠,dataset_split/val/仓鼠/89.jpg
-222.21677,96.597565,-100.18724,仓鼠,仓鼠,dataset_split/val/仓鼠/93.jpg
-305.0726,149.62337,-304.76953,仓鼠,仓鼠,dataset_split/val/仓鼠/94.jpg
27.045612,233.0141,-227.9638,兔子,兔子,dataset_split/val/兔子/15.jpg
-76.78931,205.08394,-423.2612,兔子,兔子,dataset_split/val/兔子/163.jpg
47.119247,19.49168,-228.64975,兔子,兔子,dataset_split/val/兔子/166.jpg
-41.7998,128.30014,-367.9966,兔子,兔子,dataset_split/val/兔子/171.jpg
-13.107905,138.96959,-259.28476,兔子,兔子,dataset_split/val/兔子/173.jpg
-25.98313,-58.916122,-265.69638,兔子,兔子,dataset_split/val/兔子/182.jpg
-70.28136,48.50132,-417.57367,兔子,兔子,dataset_split/val/兔子/184.jpg
254.06403,396.57507,129.26033,兔子,兔子,dataset_split/val/兔子/191.jpg
-1.1537806,-8.426612,-198.01514,兔子,兔子,dataset_split/val/兔子/194.jpg
-85.31359,160.88086,-333.35706,兔子,兔子,dataset_split/val/兔子/195.jpg
-12.265967,19.325014,-147.42937,兔子,兔子,dataset_split/val/兔子/197.jpg
27.722216,157.65077,-390.36176,兔子,兔子,dataset_split/val/兔子/198.jpg
12.691016,-80.23709,-332.55643,兔子,兔子,dataset_split/val/兔子/202.jpg
113.07324,-37.054264,-238.65936,兔子,兔子,dataset_split/val/兔子/204.jpg
-69.62458,130.71843,-425.1542,兔子,兔子,dataset_split/val/兔子/205.jpg
95.06917,58.933945,-357.56146,兔子,兔子,dataset_split/val/兔子/206.jpg
57.222645,139.52971,-327.7582,兔子,兔子,dataset_split/val/兔子/209.jpg
-12.812664,122.75974,-171.63725,兔子,兔子,dataset_split/val/兔子/212.jpg
62.73123,19.880075,-375.74042,兔子,兔子,dataset_split/val/兔子/225.jpg
29.268293,-45.638992,-185.60767,兔子,兔子,dataset_split/val/兔子/226.jpg
-52.46011,237.87724,-288.00763,兔子,兔子,dataset_split/val/兔子/233.jpg
201.66333,57.576355,-255.65327,兔子,兔子,dataset_split/val/兔子/234.jpg
15.720218,71.99738,-373.78268,兔子,兔子,dataset_split/val/兔子/235.jpg
229.0065,40.10952,-185.15672,兔子,兔子,dataset_split/val/兔子/236.png
150.98653,12.893794,-374.84915,兔子,兔子,dataset_split/val/兔子/240.jpg
377.94385,71.50028,122.13612,兔子,狗,dataset_split/val/兔子/241.jpg
-198.71434,204.62608,137.76585,兔子,兔子,dataset_split/val/兔子/25.jpeg
0.5975416,151.75142,-309.13205,兔子,兔子,dataset_split/val/兔子/254.jpg
-54.948612,177.4521,-506.38278,兔子,兔子,dataset_split/val/兔子/267.jpg
-209.2902,169.50946,-421.61377,兔子,兔子,dataset_split/val/兔子/273.jpg
0.14570175,251.1389,-405.68442,兔子,兔子,dataset_split/val/兔子/278.jpg
-76.31464,76.84611,-350.5623,兔子,兔子,dataset_split/val/兔子/279.jpg
78.7945,101.44541,-416.1447,兔子,兔子,dataset_split/val/兔子/284.jpg
67.99509,126.84401,-480.44998,兔子,兔子,dataset_split/val/兔子/285.jpg
110.492165,82.47208,-516.57495,兔子,兔子,dataset_split/val/兔子/286.jpg
-135.99998,195.27231,-315.11893,兔子,兔子,dataset_split/val/兔子/289.jpg
141.19337,-83.855156,-328.3585,兔子,兔子,dataset_split/val/兔子/292.jpg
105.87403,66.7942,-285.7119,兔子,兔子,dataset_split/val/兔子/295.jpg
14.979812,86.94216,-446.5279,兔子,兔子,dataset_split/val/兔子/298.jpg
-18.458912,188.67273,-371.15012,兔子,兔子,dataset_split/val/兔子/307.jpg
93.83742,188.36603,-443.0289,兔子,兔子,dataset_split/val/兔子/315.jpg
82.84557,184.71893,152.35393,兔子,兔子,dataset_split/val/兔子/328.jpg
37.00939,220.2448,-351.78027,兔子,兔子,dataset_split/val/兔子/33.jpg
9.386504,164.38069,-444.38516,兔子,兔子,dataset_split/val/兔子/330.jpg
117.40383,148.45477,-337.2937,兔子,兔子,dataset_split/val/兔子/336.jpg
35.51237,-115.20727,-237.59283,兔子,兔子,dataset_split/val/兔子/340.jpg
-113.95696,154.57576,-153.94922,兔子,兔子,dataset_split/val/兔子/341.jpg
-21.593874,92.308205,-509.28818,兔子,兔子,dataset_split/val/兔子/375.jpg
-121.114365,316.51248,-274.98727,兔子,兔子,dataset_split/val/兔子/40.jpg
-260.3607,-77.11215,110.91494,兔子,狗,dataset_split/val/兔子/403.jpg
129.84648,58.11586,3.2296638,兔子,猫,dataset_split/val/兔子/487.jpg
-6.4660764,3.947796,-415.628,兔子,兔子,dataset_split/val/兔子/50.jpeg
79.05801,-14.555221,-321.41684,兔子,兔子,dataset_split/val/兔子/65.jpg
82.59658,15.365637,-428.83136,兔子,兔子,dataset_split/val/兔子/83.jpg
261.69675,21.493677,-268.85593,兔子,兔子,dataset_split/val/兔子/84.jpeg
-49.420307,-5.4053583,-235.98914,兔子,兔子,dataset_split/val/兔子/9.jpg
-47.65534,95.3696,43.7818,兔子,仓鼠,dataset_split/val/兔子/91.jpg
-242.49446,-67.817635,-10.179473,兔子,仓鼠,dataset_split/val/兔子/92.jpeg
-14.542056,2.5475843,-310.90582,兔子,兔子,dataset_split/val/兔子/93.jpg
163.05293,-46.035313,-182.09215,兔子,狗,dataset_split/val/兔子/97.jpg
239.11734,-164.53844,-99.23525,狗,狗,dataset_split/val/狗/108.jpg
100.92931,72.56013,-147.73857,狗,狗,dataset_split/val/狗/109.jpg
237.39767,179.32823,99.385025,狗,狗,dataset_split/val/狗/110.jpg
-244.33307,-101.02261,219.65457,狗,狗,dataset_split/val/狗/112.jpg
367.32465,-189.79079,-57.298725,狗,狗,dataset_split/val/狗/117.jpg
-223.64415,-193.20868,263.50293,狗,狗,dataset_split/val/狗/132.jpeg
530.2862,119.539215,47.659573,狗,狗,dataset_split/val/狗/144.jpg
217.68665,-121.01535,-116.80594,狗,狗,dataset_split/val/狗/145.jpeg
215.45811,-202.63794,-248.9146,狗,狗,dataset_split/val/狗/146.jpg
278.04483,157.25235,-218.46465,狗,狗,dataset_split/val/狗/15.jpg
468.51932,-29.375338,62.319958,狗,狗,dataset_split/val/狗/153.jpg
338.59055,-90.20099,-6.2415614,狗,狗,dataset_split/val/狗/170.jpg
213.9811,176.3673,-124.24037,狗,狗,dataset_split/val/狗/184.jpg
351.94766,290.85077,-116.20062,狗,狗,dataset_split/val/狗/185.jpg
296.34848,268.91544,-275.49313,狗,狗,dataset_split/val/狗/189.jpg
247.43478,280.1866,-150.75027,狗,狗,dataset_split/val/狗/190.jpeg
433.52786,37.568874,-64.49818,狗,狗,dataset_split/val/狗/192.jpg
272.5333,-5.354425,-37.836517,狗,狗,dataset_split/val/狗/193.jpeg
231.77141,-0.43015292,-122.400276,狗,狗,dataset_split/val/狗/194.jpg
324.63495,147.20114,-108.36782,狗,狗,dataset_split/val/狗/198.jpg
368.08514,81.63286,-149.96037,狗,狗,dataset_split/val/狗/2.jpg
287.07846,0.7573109,85.19617,狗,狗,dataset_split/val/狗/211.jpg
447.53345,143.58694,-70.4846,狗,狗,dataset_split/val/狗/212.jpg
242.6694,227.64932,-280.5107,狗,狗,dataset_split/val/狗/232.jpg
262.7826,340.61905,-132.6508,狗,狗,dataset_split/val/狗/238.jpg
484.1627,88.38337,4.1514854,狗,狗,dataset_split/val/狗/243.jpg
177.91861,-45.780502,43.358665,狗,狗,dataset_split/val/狗/245.jpeg
131.24416,212.16919,-209.32977,狗,狗,dataset_split/val/狗/247.jpg
196.97504,282.24554,-177.97954,狗,狗,dataset_split/val/狗/255.jpg
355.6023,57.46487,-15.302046,狗,狗,dataset_split/val/狗/262.jpg
297.93097,129.5377,-177.32639,狗,狗,dataset_split/val/狗/264.jpg
431.20612,184.57855,-130.76817,狗,狗,dataset_split/val/狗/269.jpg
351.5242,-32.702614,144.45197,狗,狗,dataset_split/val/狗/27.jpg
356.78366,187.54991,128.90524,狗,狗,dataset_split/val/狗/273.jpg
406.1628,132.65497,-122.397125,狗,狗,dataset_split/val/狗/274.jpg
292.81882,175.03934,231.41196,狗,狗,dataset_split/val/狗/277.jpg
325.82715,-64.513725,197.75677,狗,狗,dataset_split/val/狗/285.jpg
264.85397,66.62075,-12.033406,狗,狗,dataset_split/val/狗/287.jpg
252.45624,70.83324,-119.65965,狗,狗,dataset_split/val/狗/289.jpg
424.49124,-56.508076,-42.37113,狗,狗,dataset_split/val/狗/293.jpg
437.8516,36.50239,47.120514,狗,狗,dataset_split/val/狗/299.jpg
363.1768,8.259555,201.50792,狗,狗,dataset_split/val/狗/3.jpg
348.1752,130.52087,33.92408,狗,狗,dataset_split/val/狗/300.jpg
333.11865,80.53046,-79.2022,狗,狗,dataset_split/val/狗/302.jpg
468.7663,102.40625,-126.774185,狗,狗,dataset_split/val/狗/304.jpg
340.89832,-106.848366,117.29341,狗,狗,dataset_split/val/狗/306.jpg
-314.29028,-62.2731,230.65309,狗,狗,dataset_split/val/狗/309.jpg
241.16284,-120.22097,-225.24553,狗,狗,dataset_split/val/狗/321.jpeg
277.06262,224.73334,12.388687,狗,狗,dataset_split/val/狗/322.jpg
274.7853,73.10407,237.12814,狗,狗,dataset_split/val/狗/33.jpg
358.89975,347.88358,-111.53792,狗,狗,dataset_split/val/狗/333.jpeg
334.46817,250.24744,103.5441,狗,狗,dataset_split/val/狗/338.jpg
289.69037,44.215,280.64893,狗,狗,dataset_split/val/狗/347.jpg
376.37582,234.51773,133.62479,狗,狗,dataset_split/val/狗/350.jpg
131.36618,116.20942,82.53469,狗,狗,dataset_split/val/狗/358.jpeg
279.46658,62.9085,118.180725,狗,狗,dataset_split/val/狗/359.jpg
295.50864,26.0213,-186.15114,狗,狗,dataset_split/val/狗/360.jpg
267.61288,329.9639,-187.53838,狗,狗,dataset_split/val/狗/372.jpg
213.52124,105.29762,253.16202,狗,狗,dataset_split/val/狗/378.jpeg
211.29237,94.52277,-91.183395,狗,狗,dataset_split/val/狗/382.jpg
147.7513,259.2827,-145.71484,狗,狗,dataset_split/val/狗/393.jpg
311.4145,272.16473,-61.072876,狗,狗,dataset_split/val/狗/395.jpg
214.37518,150.87953,-25.026295,狗,狗,dataset_split/val/狗/397.jpg
371.78152,-32.917183,-61.85047,狗,狗,dataset_split/val/狗/401.jpg
190.19048,238.46704,-202.74033,狗,狗,dataset_split/val/狗/402.jpg
278.1917,196.28922,68.94239,狗,狗,dataset_split/val/狗/403.jpg
318.68088,289.533,-160.41794,狗,狗,dataset_split/val/狗/406.jpg
418.5099,88.51357,25.055742,狗,狗,dataset_split/val/狗/413.jpg
487.82797,44.169506,-102.14448,狗,狗,dataset_split/val/狗/415.jpg
398.18704,-24.164082,-125.59723,狗,狗,dataset_split/val/狗/418.jpg
280.9726,-97.93484,-42.828518,狗,狗,dataset_split/val/狗/429.jpg
272.22137,113.724556,100.09455,狗,狗,dataset_split/val/狗/433.jpg
335.51804,129.22906,-38.326782,狗,狗,dataset_split/val/狗/439.jpeg
395.83987,-77.443565,114.265144,狗,狗,dataset_split/val/狗/443.jpg
93.48738,8.500528,-125.308304,狗,狗,dataset_split/val/狗/446.jpg
126.90477,28.526886,-103.479294,狗,狗,dataset_split/val/狗/447.jpg
387.4627,185.24503,-40.50215,狗,狗,dataset_split/val/狗/448.jpg
436.778,138.38344,22.134457,狗,狗,dataset_split/val/狗/45.jpg
167.98409,-132.98727,-225.2636,狗,狗,dataset_split/val/狗/459.jpeg
315.11502,-0.92409045,157.47142,狗,狗,dataset_split/val/狗/466.jpg
413.16296,280.6989,-114.06192,狗,狗,dataset_split/val/狗/474.jpg
271.1527,130.99031,210.39134,狗,狗,dataset_split/val/狗/483.jpg
393.41507,96.12818,-65.24181,狗,狗,dataset_split/val/狗/495.jpg
188.28053,256.73593,-289.3406,狗,仓鼠,dataset_split/val/狗/496.jpg
350.16232,7.1538157,75.04732,狗,狗,dataset_split/val/狗/5.jpg
195.912,137.551,-177.38231,狗,狗,dataset_split/val/狗/51.jpg
266.51407,159.11688,-73.49372,狗,狗,dataset_split/val/狗/54.jpg
449.28696,9.508041,122.42058,狗,狗,dataset_split/val/狗/57.jpg
255.20224,179.82886,-301.3915,狗,狗,dataset_split/val/狗/66.jpg
221.97397,69.27518,80.67406,狗,狗,dataset_split/val/狗/67.jpg
253.5351,-78.07612,18.338045,狗,狗,dataset_split/val/狗/73.jpg
273.31253,-108.885765,74.22773,狗,狗,dataset_split/val/狗/76.jpg
